Frequency,Name,Signal Level,Address,Channel
2.412,NAU Guest,62,18:33:9D:C6:EB:01,1
2.412,NAU,63,18:33:9D:C6:E6:A0,1
2.412,NAU Guest,63,18:33:9D:C6:E6:A1,1
2.437,NAU,65,18:33:9D:71:80:20,6
2.437,NAU Guest,65,18:33:9D:71:80:21,6
2.437,NAU Guest,67,18:33:9D:C6:E9:21,6
2.462,NAU,68,18:33:9D:71:7C:A0,11
2.462,NAU Guest,68,18:33:9D:71:7C:A1,11
2.462,NAU,71,18:33:9D:F0:9A:20,11
5.66,NAU Guest,75,18:33:9D:F0:97:3E,132
5.66,NAU,75,18:33:9D:F0:97:3F,132
5.5,NAU,76,18:33:9D:F0:96:EF,100
5.5,NAU Guest,77,18:33:9D:F0:96:EE,100
5.745,NAU,89,18:33:9D:C6:EC:0F,149
5.745,NAU Guest,89,18:33:9D:C6:EC:0E,149
5.32,NAU Guest,90,18:33:9D:C6:E9:2E,64
5.26,NAU Guest,92,18:33:9D:C6:EB:0E,52
5.26,NAU,93,18:33:9D:C6:EB:0F,52
